time_sec,target_rps,actual_sent,success_count,fail_count,sla_violation_count,avg_latency_ms,p95_latency_ms,active_ports,scenario,phase
228,111,111,111,0,0,331.29,375.2,"8001,8002,8003",sale_event,ramp_up
229,115,115,115,0,0,330.74,386.15,"8001,8002,8003",sale_event,ramp_up
230,111,111,111,0,0,333.56,352.84,"8001,8002,8003",sale_event,ramp_up
231,121,121,121,0,0,366.02,422.58,"8001,8002,8003",sale_event,ramp_up
232,115,115,115,0,0,340.58,436.62,"8001,8002,8003",sale_event,ramp_up
233,127,127,127,0,0,392.12,506.85,"8001,8002,8003",sale_event,ramp_up
234,114,114,114,0,0,367.72,491.53,"8001,8002,8003",sale_event,ramp_up
235,129,129,129,0,0,357.57,419.95,"8001,8002,8003",sale_event,ramp_up
236,116,116,116,0,0,348.84,388.0,"8001,8002,8003",sale_event,ramp_up
237,135,135,135,0,0,431.19,536.4,"8001,8002,8003",sale_event,ramp_up
238,119,119,119,0,0,368.24,443.88,"8001,8002,8003",sale_event,ramp_up
239,134,134,134,0,0,402.51,481.37,"8001,8002,8003",sale_event,ramp_up
240,124,124,124,0,0,398.76,476.36,"8001,8002,8003",sale_event,ramp_up
241,130,130,130,0,0,402.82,458.73,"8001,8002,8003",sale_event,ramp_up
242,121,121,121,0,0,370.62,410.35,"8001,8002,8003",sale_event,ramp_up
243,122,122,122,0,0,386.1,424.72,"8001,8002,8003",sale_event,ramp_up
244,134,134,134,0,0,360.72,426.92,"8001,8002,8003",sale_event,ramp_up
245,130,130,130,0,0,375.17,414.46,"8001,8002,8003",sale_event,ramp_up
246,132,132,132,0,0,372.85,442.75,"8001,8002,8003",sale_event,ramp_up
247,124,124,124,0,0,364.88,411.44,"8001,8002,8003",sale_event,ramp_up
248,125,125,125,0,0,373.43,414.7,"8001,8002,8003",sale_event,ramp_up
249,126,126,126,0,0,318.65,395.33,"8001,8002,8003",sale_event,ramp_up
250,141,141,141,0,0,420.99,475.07,"8001,8002,8003",sale_event,ramp_up
251,135,135,135,0,0,372.33,448.05,"8001,8002,8003",sale_event,ramp_up
252,135,135,135,0,0,395.13,462.99,"8001,8002,8003",sale_event,ramp_up
253,135,135,135,0,0,412.99,499.16,"8001,8002,8003",sale_event,ramp_up
254,141,141,141,0,0,383.5,475.37,"8001,8002,8003",sale_event,ramp_up
255,150,150,150,0,0,391.4,474.09,"8001,8002,8003",sale_event,ramp_up
256,149,149,149,0,0,431.33,572.06,"8001,8002,8003",sale_event,ramp_up
257,143,143,143,0,0,379.37,459.05,"8001,8002,8003",sale_event,ramp_up
258,145,145,145,0,0,405.66,456.04,"8001,8002,8003",sale_event,ramp_up
259,150,150,150,0,0,417.33,481.17,"8001,8002,8003",sale_event,ramp_up
